--------------------------------------------
ID, Registry name, Temp., RainType, Downfall
--------------------------------------------
0, minecraft:ocean,  0.50, rain, 0.50
1, minecraft:plains,  0.80, rain, 0.40
2, minecraft:desert,  2.00, -, 0.00
3, minecraft:mountains,  0.20, rain, 0.30
4, minecraft:forest,  0.70, rain, 0.80
5, minecraft:taiga,  0.25, rain, 0.80
6, minecraft:swamp,  0.80, rain, 0.90
7, minecraft:river,  0.50, rain, 0.50
8, minecraft:nether_wastes,  2.00, -, 0.00
9, minecraft:the_end,  0.50, -, 0.50
10, minecraft:frozen_ocean,  0.00, snow, 0.50
11, minecraft:frozen_river,  0.00, snow, 0.50
12, minecraft:snowy_tundra,  0.00, snow, 0.50
13, minecraft:snowy_mountains,  0.00, snow, 0.50
14, minecraft:mushroom_fields,  0.90, rain, 1.00
15, minecraft:mushroom_field_shore,  0.90, rain, 1.00
16, minecraft:beach,  0.80, rain, 0.40
17, minecraft:desert_hills,  2.00, -, 0.00
18, minecraft:wooded_hills,  0.70, rain, 0.80
19, minecraft:taiga_hills,  0.25, rain, 0.80
20, minecraft:mountain_edge,  0.20, rain, 0.30
21, minecraft:jungle,  0.95, rain, 0.90
22, minecraft:jungle_hills,  0.95, rain, 0.90
23, minecraft:jungle_edge,  0.95, rain, 0.80
24, minecraft:deep_ocean,  0.50, rain, 0.50
25, minecraft:stone_shore,  0.20, rain, 0.30
26, minecraft:snowy_beach,  0.05, snow, 0.30
27, minecraft:birch_forest,  0.60, rain, 0.60
28, minecraft:birch_forest_hills,  0.60, rain, 0.60
29, minecraft:dark_forest,  0.70, rain, 0.80
30, minecraft:snowy_taiga, -0.50, snow, 0.40
31, minecraft:snowy_taiga_hills, -0.50, snow, 0.40
32, minecraft:giant_tree_taiga,  0.30, rain, 0.80
33, minecraft:giant_tree_taiga_hills,  0.30, rain, 0.80
34, minecraft:wooded_mountains,  0.20, rain, 0.30
35, minecraft:savanna,  1.20, -, 0.00
36, minecraft:savanna_plateau,  1.00, -, 0.00
37, minecraft:badlands,  2.00, -, 0.00
38, minecraft:wooded_badlands_plateau,  2.00, -, 0.00
39, minecraft:badlands_plateau,  2.00, -, 0.00
40, minecraft:small_end_islands,  0.50, -, 0.50
41, minecraft:end_midlands,  0.50, -, 0.50
42, minecraft:end_highlands,  0.50, -, 0.50
43, minecraft:end_barrens,  0.50, -, 0.50
44, minecraft:warm_ocean,  0.50, rain, 0.50
45, minecraft:lukewarm_ocean,  0.50, rain, 0.50
46, minecraft:cold_ocean,  0.50, rain, 0.50
47, minecraft:deep_warm_ocean,  0.50, rain, 0.50
48, minecraft:deep_lukewarm_ocean,  0.50, rain, 0.50
